runid,topic,compatibility
citius.r8,101,0.34225995404082743
citius.r8,102,0.2723426323894999
citius.r8,103,0.1455291299176965
citius.r8,104,0.41231908980939996
citius.r8,105,0.19035237141136338
citius.r8,106,0.0031076281920007177
citius.r8,107,0.04939956355685641
citius.r8,108,0.1649017368176884
citius.r8,109,0.05263468618539755
citius.r8,110,0.7544049180148952
citius.r8,111,0.08237657326509318
citius.r8,112,0.16290831112360143
citius.r8,114,0.27825560484738376
citius.r8,140,0.011589040289647577
citius.r8,average,0.20874151713295364
