Prompt,Overall RMSE
DesNar.txt,0.32775662859813987
RolDesNarDel.txt,0.28933913337418726
DesNarDel.txt,0.34255594832760433
RolDel.txt,0.4051296213530445
RolNar.txt,0.3091697706630465
DelStr.txt,0.46018109293354853
DesStr.txt,0.35671414697671144
DesNarStr.txt,0.3357935447698536
NarDel.txt,0.3613028170422721
RolDesNarDelStr.txt,0.25970103305463027
Des.txt,0.39063873701718665
RolDelStr.txt,0.3563710354746285
RolDesDelStr.txt,0.30063076124966526
RolNarStr.txt,0.2692215104085752
RolDesStr.txt,0.3088410821370871
RolNarDel.txt,0.2763648566463471
Del.txt,0.4845382430267233
DesDelStr.txt,0.3653548009246603
Str.txt,0.48568283037989435
RolDes.txt,0.3011481198263317
RolStr.txt,0.404082649692877
DesNarDelStr.txt,0.3162808588653383
Rol.txt,0.3557061007752199
RolDesNar.txt,0.2768066901431055
Nar.txt,0.34938273855975105
RolDesNarStr.txt,0.2869259786748298
RolDesDel.txt,0.3153206375074294
Nothing.txt,0.49773401501207865
NarDelStr.txt,0.3668406325452153
NarStr.txt,0.3338032421217259
DesDel.txt,0.3669424974703245
RolNarDelStr.txt,0.2856280093827216
