Prompt,RBO
DesNar.txt,0.0
RolDesNarDel.txt,0.0
DesNarDel.txt,0.0
RolDel.txt,0.0
RolNar.txt,0.0
DelStr.txt,0.0
DesStr.txt,0.00038569748186674627
DesNarStr.txt,0.00038569748186674627
NarDel.txt,0.0005694738813296727
RolDesNarDelStr.txt,0.0
Des.txt,5.4487382987976045e-05
RolDelStr.txt,0.00023012546620277958
RolDesDelStr.txt,0.0
RolNarStr.txt,0.00033890772896571873
RolDesStr.txt,0.0
RolNarDel.txt,0.0004390542176310759
Del.txt,0.0
DesDelStr.txt,0.0
Str.txt,0.0
RolDes.txt,0.0006489391354564422
RolStr.txt,0.0
DesNarDelStr.txt,0.0006007065157572866
Rol.txt,0.0
RolDesNar.txt,0.0
Nar.txt,0.0
RolDesNarStr.txt,0.00033890772896571873
RolDesDel.txt,0.0
Nothing.txt,0.0
NarDelStr.txt,0.0
NarStr.txt,0.00038569748186674627
DesDel.txt,0.0
RolNarDelStr.txt,0.2558365285112812
