runid,topic,compatibility
upv_fuse_10,101,0.021128013909031736
upv_fuse_10,102,0.215169131028052
upv_fuse_10,103,0.4859786411090672
upv_fuse_10,104,0.07327840058325752
upv_fuse_10,105,0.03970221090515937
upv_fuse_10,106,0.01716004114661029
upv_fuse_10,107,0.03249734032770332
upv_fuse_10,108,0.14128688175420087
upv_fuse_10,109,0.06476844246574309
upv_fuse_10,110,0.062203875264759526
upv_fuse_10,111,0.5377983110715987
upv_fuse_10,112,0.271963221563089
upv_fuse_10,114,0.11235709822154401
upv_fuse_10,115,0.1325639792694753
upv_fuse_10,117,0.0007560724787046875
upv_fuse_10,118,0.0015622547575971295
upv_fuse_10,120,1.0439762955667862e-20
upv_fuse_10,121,0.049917690402449706
upv_fuse_10,122,0.05657013366942153
upv_fuse_10,127,0.01965304640251704
upv_fuse_10,128,0.1833061188910944
upv_fuse_10,129,0.011055051352982266
upv_fuse_10,131,0.2049255411003734
upv_fuse_10,132,0.05110435859211463
upv_fuse_10,133,0.13394815306975702
upv_fuse_10,134,0.08447668258827266
upv_fuse_10,136,0.03690860494131496
upv_fuse_10,137,2.954630581695382e-05
upv_fuse_10,139,0.4225754009673885
upv_fuse_10,140,0.36542552375726123
upv_fuse_10,143,0.2302125485516858
upv_fuse_10,144,0.008721759766369325
upv_fuse_10,145,0.00356821325575491
upv_fuse_10,146,0.07963723971720066
upv_fuse_10,149,0.09139943127125465
upv_fuse_10,average,0.12124597029881777
