runid,topic,compatibility
upv_fuse_4,101,0.20004636729699138
upv_fuse_4,102,0.1349232202251027
upv_fuse_4,103,0.3073573996736831
upv_fuse_4,104,0.6456550223965878
upv_fuse_4,105,0.0505725748259821
upv_fuse_4,106,0.007827210659379628
upv_fuse_4,107,9.375729996817759e-07
upv_fuse_4,108,0.18965555797951397
upv_fuse_4,109,0.11114036052388343
upv_fuse_4,110,0.030397643719381924
upv_fuse_4,111,0.3477035140207693
upv_fuse_4,112,0.3038342947696142
upv_fuse_4,114,0.3064060885060022
upv_fuse_4,140,0.0035924091824565377
upv_fuse_4,average,0.18850804295373913
