runid,topic,compatibility
webis-bm25-ax1,101,0.22236998640466446
webis-bm25-ax1,102,0.14054927761920108
webis-bm25-ax1,103,0.1372823530253949
webis-bm25-ax1,104,0.002525232830926152
webis-bm25-ax1,105,0.16754573230603204
webis-bm25-ax1,106,0.2649860225568221
webis-bm25-ax1,107,0.12054921691154698
webis-bm25-ax1,108,0.27169756599447353
webis-bm25-ax1,109,0.012356974181372653
webis-bm25-ax1,110,0.04940936515916412
webis-bm25-ax1,111,0.17129743423094942
webis-bm25-ax1,112,0.0678891643128008
webis-bm25-ax1,114,0.025231453771899528
webis-bm25-ax1,115,0.20914344740532592
webis-bm25-ax1,117,0.0538250057420729
webis-bm25-ax1,118,0.23941415852428685
webis-bm25-ax1,120,0.029461444592415658
webis-bm25-ax1,121,0.051474721795583454
webis-bm25-ax1,122,0.01066484228232916
webis-bm25-ax1,127,0.3549793761713711
webis-bm25-ax1,128,0.07107077803588445
webis-bm25-ax1,129,0.01682298648632789
webis-bm25-ax1,131,0.036582586733757104
webis-bm25-ax1,132,0.06282409765925319
webis-bm25-ax1,133,0.013982669293943564
webis-bm25-ax1,134,0.13990892305451233
webis-bm25-ax1,136,0.051973655376427425
webis-bm25-ax1,137,0.1341926829927058
webis-bm25-ax1,139,0.12948462395547758
webis-bm25-ax1,140,0.04414284971921915
webis-bm25-ax1,143,0.05021374038190148
webis-bm25-ax1,144,0.16637211304691304
webis-bm25-ax1,145,6.313066484490965e-05
webis-bm25-ax1,146,0.15365603329249167
webis-bm25-ax1,149,0.11249400077276343
webis-bm25-ax1,average,0.10818393277957307
