runid,topic,compatibility
vera_mt5_0.5,101,0.22911007996233984
vera_mt5_0.5,102,0.729694746637352
vera_mt5_0.5,103,0.44684398581391527
vera_mt5_0.5,104,0.22917638718137076
vera_mt5_0.5,105,0.7289106941822288
vera_mt5_0.5,106,0.3502173813248384
vera_mt5_0.5,107,0.14238022698260186
vera_mt5_0.5,108,0.25604288046438506
vera_mt5_0.5,109,0.43629971569372294
vera_mt5_0.5,110,0.053639924768517845
vera_mt5_0.5,111,0.3746850356354836
vera_mt5_0.5,112,0.3679232232010514
vera_mt5_0.5,114,0.1764493492741789
vera_mt5_0.5,115,0.35615388010404875
vera_mt5_0.5,117,1.0
vera_mt5_0.5,118,0.7071038433220921
vera_mt5_0.5,120,0.49752585876359845
vera_mt5_0.5,121,0.1255966629764118
vera_mt5_0.5,122,0.115185409823268
vera_mt5_0.5,127,0.26959813799635585
vera_mt5_0.5,128,0.6853776368024045
vera_mt5_0.5,129,0.4140083223807675
vera_mt5_0.5,131,0.22587951203566245
vera_mt5_0.5,132,0.30437358643536794
vera_mt5_0.5,133,0.5479612892017566
vera_mt5_0.5,134,0.7227361697603285
vera_mt5_0.5,136,0.07681921644871471
vera_mt5_0.5,137,0.5495195141406821
vera_mt5_0.5,139,0.7763157011576636
vera_mt5_0.5,140,0.445392476669851
vera_mt5_0.5,143,0.35642254614339874
vera_mt5_0.5,144,0.3091154479800871
vera_mt5_0.5,145,0.2086587499330014
vera_mt5_0.5,146,0.18666779168748007
vera_mt5_0.5,149,0.5917444330314034
vera_mt5_0.5,average,0.39981513765475235
